name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,
,31362734,,,,132682589,132682590,Minor arterial,1,0.03500,1,40.0000,1500.0000,66,120.0,12.0,"","C;F","<LineString><coordinates>-112.005724,40.694900,0.0 -112.005704,40.695409,0.0</coordinates></LineString>","<LineString><coordinates>-112.005730,40.694900,0.0 -112.005710,40.695410,0.0</coordinates></LineString>",,,
,31362734,,,,132682590,132682589,Minor arterial,1,0.03500,1,40.0000,1500.0000,66,120.0,12.0,"","C;F","<LineString><coordinates>-112.005716,40.695410,0.0 -112.005736,40.694900,0.0</coordinates></LineString>","<LineString><coordinates>-112.005710,40.695410,0.0 -112.005730,40.694900,0.0</coordinates></LineString>",,,
,31362735,,,,132682590,132682591,Minor arterial,1,0.08000,1,40.0000,1500.0000,66,120.0,12.0,"","C;F","<LineString><coordinates>-112.005704,40.695410,0.0 -112.005724,40.696570,0.0</coordinates></LineString>","<LineString><coordinates>-112.005710,40.695410,0.0 -112.005730,40.696570,0.0</coordinates></LineString>",,,
,31362735,,,,132682591,132682590,Minor arterial,1,0.08000,1,40.0000,1500.0000,66,120.0,12.0,"","C;F","<LineString><coordinates>-112.005737,40.696570,0.0 -112.005716,40.695410,0.0</coordinates></LineString>","<LineString><coordinates>-112.005730,40.696570,0.0 -112.005710,40.695410,0.0</coordinates></LineString>",,,
,31362736,,,,132682590,132682592,Local,1,0.03400,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-112.005710,40.695403,0.0 -112.005061,40.695344,0.0</coordinates></LineString>","<LineString><coordinates>-112.005710,40.695410,0.0 -112.005060,40.695350,0.0</coordinates></LineString>",,,
,31362736,,,,132682592,132682590,Local,1,0.03400,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-112.005060,40.695357,0.0 -112.005709,40.695416,0.0</coordinates></LineString>","<LineString><coordinates>-112.005060,40.695350,0.0 -112.005710,40.695410,0.0</coordinates></LineString>",,,
,31362740,,,,132682589,132682595,Local,1,0.03400,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-112.005730,40.694894,0.0 -112.005080,40.694904,0.0</coordinates></LineString>","<LineString><coordinates>-112.005730,40.694900,0.0 -112.005080,40.694910,0.0</coordinates></LineString>",,,
,31362740,,,,132682595,132682589,Local,1,0.03400,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-112.005080,40.694916,0.0 -112.005730,40.694906,0.0</coordinates></LineString>","<LineString><coordinates>-112.005080,40.694910,0.0 -112.005730,40.694900,0.0</coordinates></LineString>",,,
,31362741,,,,132682592,132682595,Local,1,0.03000,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-112.005066,40.695351,0.0 -112.005086,40.694910,0.0</coordinates></LineString>","<LineString><coordinates>-112.005060,40.695350,0.0 -112.005080,40.694910,0.0</coordinates></LineString>",,,
,31362741,,,,132682595,132682592,Local,1,0.03000,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-112.005074,40.694910,0.0 -112.005054,40.695350,0.0</coordinates></LineString>","<LineString><coordinates>-112.005080,40.694910,0.0 -112.005060,40.695350,0.0</coordinates></LineString>",,,
,31368801,,,,132684259,132684260,Local,1,0.03200,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.996173,40.693430,0.0 -111.996174,40.693890,0.0</coordinates></LineString>","<LineString><coordinates>-111.996180,40.693430,0.0 -111.996180,40.693890,0.0</coordinates></LineString>",,,
,31368801,,,,132684260,132684259,Local,1,0.03200,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.996186,40.693890,0.0 -111.996186,40.693430,0.0</coordinates></LineString>","<LineString><coordinates>-111.996180,40.693890,0.0 -111.996180,40.693430,0.0</coordinates></LineString>",,,
,31368802,,,,132684260,132684261,Local,1,0.08300,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.996174,40.693890,0.0 -111.996174,40.695090,0.0</coordinates></LineString>","<LineString><coordinates>-111.996180,40.693890,0.0 -111.996180,40.695090,0.0</coordinates></LineString>",,,
,31368802,,,,132684261,132684260,Local,1,0.08300,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.996186,40.695090,0.0 -111.996186,40.693890,0.0</coordinates></LineString>","<LineString><coordinates>-111.996180,40.695090,0.0 -111.996180,40.693890,0.0</coordinates></LineString>",,,
,31368803,,,,132684260,132684262,Local,1,0.05700,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.996180,40.693883,0.0 -111.995090,40.693924,0.0</coordinates></LineString>","<LineString><coordinates>-111.996180,40.693890,0.0 -111.995090,40.693930,0.0</coordinates></LineString>",,,
,31368803,,,,132684262,132684260,Local,1,0.05700,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.995090,40.693936,0.0 -111.996180,40.693896,0.0</coordinates></LineString>","<LineString><coordinates>-111.995090,40.693930,0.0 -111.996180,40.693890,0.0</coordinates></LineString>",,,
,31368806,,,,132684264,132684265,Local,1,0.02500,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.994184,40.694050,0.0 -111.994184,40.694410,0.0</coordinates></LineString>","<LineString><coordinates>-111.994191,40.694050,0.0 -111.994190,40.694410,0.0</coordinates></LineString>",,,
,31368806,,,,132684265,132684264,Local,1,0.02500,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.994196,40.694410,0.0 -111.994197,40.694050,0.0</coordinates></LineString>","<LineString><coordinates>-111.994190,40.694410,0.0 -111.994191,40.694050,0.0</coordinates></LineString>",,,
,31368807,,,,132684264,132684266,Local,1,0.03000,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.994189,40.694044,0.0 -111.993658,40.694184,0.0</coordinates></LineString>","<LineString><coordinates>-111.994191,40.694050,0.0 -111.993660,40.694190,0.0</coordinates></LineString>",,,
,31368807,,,,132684266,132684264,Local,1,0.03000,1,15.0000,800.0000,86,120.0,12.0,"","C;F","<LineString><coordinates>-111.993661,40.694196,0.0 -111.994192,40.694056,0.0</coordinates></LineString>","<LineString><coordinates>-111.993660,40.694190,0.0 -111.994191,40.694050,0.0</coordinates></LineString>",,,
