agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,4,1,4,0.01,5.90,c,5.89,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 4.1; 5.9;,0.000000,0.000000,1.831400,3.662800,
1,-1,-1,-1,-1,1,4,1,4,0.01,5.90,c,5.89,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5917.922852,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 4.1; 5.9;,0.000000,0.000000,1.831400,3.662800,
2,-1,-1,-1,-1,1,4,1,4,0.02,5.90,c,5.88,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5914.737793,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.7; 4.1; 5.9;,0.000000,0.000000,1.831400,3.662800,
3,-1,-1,-1,-1,1,4,1,4,0.03,5.90,c,5.87,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5911.552734,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.7; 4.1; 5.9;,0.000000,0.000000,1.831400,3.662800,
4,-1,-1,-1,-1,1,4,1,4,0.04,5.90,c,5.86,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5908.367676,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 4.2; 5.9;,0.000000,0.000000,1.831400,3.662800,
5,-1,-1,-1,-1,1,4,1,4,0.04,5.90,c,5.86,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5905.183105,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 4.2; 5.9;,0.000000,0.000000,1.831400,3.662800,
6,-1,-1,-1,-1,1,4,1,4,0.05,5.90,c,5.85,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5901.998047,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 4.2; 5.9;,0.000000,0.000000,1.831400,3.662800,
7,-1,-1,-1,-1,1,4,1,4,0.06,5.90,c,5.84,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5898.812500,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 4.2; 5.9;,0.000000,0.000000,1.831400,3.662800,
8,-1,-1,-1,-1,1,4,1,4,0.07,5.90,c,5.83,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5895.627930,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.8; 4.2; 5.9;,0.000000,0.000000,1.831400,3.662800,
9,-1,-1,-1,-1,1,4,1,4,0.07,6.00,c,5.93,1,1,1.00,1,10.00,0.000,4.000,0.000000,0.000000,0.000000,5934.914551,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 4.3; 6.0;,0.000000,0.000000,1.831400,3.662800,
