agent_id,tour_id,dependency_agent_id,duration_in_min,following_agent_id,from_zone_id, to_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, demand_type, vehicle_type, PCE, information_type, value_of_time, toll_cost, distance, TotalEnergy_(KJ), CO2_(g), NOX_(g), CO_(g), HC_(g), PM_(g), PM_2.5(g),vehicle_age,number_of_nodes,path_node_sequence,org_path_node_sequence,path_time_sequence,origin_node_x,origin_node_y,destination_node_x,destination_node_y,
0,-1,-1,-1,-1,1,4,1,4,0.01,4.80,c,4.79,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
1,-1,-1,-1,-1,1,4,1,4,0.01,4.80,c,4.79,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5450.729492,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
2,-1,-1,-1,-1,1,4,1,4,0.02,4.80,c,4.78,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5447.544434,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
3,-1,-1,-1,-1,1,4,1,4,0.03,4.80,c,4.77,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5444.359375,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.7; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
4,-1,-1,-1,-1,1,4,1,4,0.04,4.80,c,4.76,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5441.174316,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
5,-1,-1,-1,-1,1,4,1,4,0.04,4.80,c,4.76,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5437.989258,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.8;,0.000000,0.000000,1.831400,3.662800,
6,-1,-1,-1,-1,1,4,1,4,0.05,4.90,c,4.85,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5477.276367,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
7,-1,-1,-1,-1,1,4,1,4,0.06,4.90,c,4.84,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5474.091309,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
8,-1,-1,-1,-1,1,4,1,4,0.07,4.90,c,4.83,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5470.906250,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
9,-1,-1,-1,-1,1,4,1,4,0.07,4.90,c,4.83,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5467.721191,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
10,-1,-1,-1,-1,1,4,1,4,0.08,4.90,c,4.82,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5464.536133,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.0; 1.8; 3.6; 4.9;,0.000000,0.000000,1.831400,3.662800,
11,-1,-1,-1,-1,1,4,1,4,0.09,4.90,c,4.81,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5461.351563,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.7; 4.9;,0.000000,0.000000,1.831400,3.662800,
12,-1,-1,-1,-1,1,4,1,4,0.10,5.00,c,4.90,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5500.638672,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.0; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
13,-1,-1,-1,-1,1,4,1,4,0.10,5.00,c,4.90,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5497.453125,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
14,-1,-1,-1,-1,1,4,1,4,0.11,5.00,c,4.89,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5494.268555,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
15,-1,-1,-1,-1,1,4,1,4,0.12,5.00,c,4.88,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5491.083496,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
16,-1,-1,-1,-1,1,4,1,4,0.13,5.00,c,4.87,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5487.898438,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
17,-1,-1,-1,-1,1,4,1,4,0.13,5.00,c,4.87,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5484.713379,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.8; 3.7; 5.0;,0.000000,0.000000,1.831400,3.662800,
18,-1,-1,-1,-1,1,4,1,4,0.14,5.10,c,4.96,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5524.000488,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
19,-1,-1,-1,-1,1,4,1,4,0.15,5.10,c,4.95,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5520.815430,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
20,-1,-1,-1,-1,1,4,1,4,0.16,5.10,c,4.94,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5517.630371,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
21,-1,-1,-1,-1,1,4,1,4,0.16,5.10,c,4.94,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5514.445313,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
22,-1,-1,-1,-1,1,4,1,4,0.17,5.10,c,4.93,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5511.260254,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
23,-1,-1,-1,-1,1,4,1,4,0.18,5.10,c,4.92,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5508.075195,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.1;,0.000000,0.000000,1.831400,3.662800,
24,-1,-1,-1,-1,1,4,1,4,0.19,5.20,c,5.01,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5547.362305,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.1; 1.9; 3.7; 5.2;,0.000000,0.000000,1.831400,3.662800,
25,-1,-1,-1,-1,1,4,1,4,0.19,5.20,c,5.01,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5544.177734,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.1; 1.9; 3.8; 5.2;,0.000000,0.000000,1.831400,3.662800,
26,-1,-1,-1,-1,1,4,1,4,0.20,5.20,c,5.00,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5540.992676,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.2; 1.9; 3.8; 5.2;,0.000000,0.000000,1.831400,3.662800,
27,-1,-1,-1,-1,1,4,1,4,0.21,5.20,c,4.99,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5537.807617,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.2; 1.9; 3.8; 5.2;,0.000000,0.000000,1.831400,3.662800,
28,-1,-1,-1,-1,1,4,1,4,0.22,5.20,c,4.98,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5534.622559,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.2; 1.9; 3.8; 5.2;,0.000000,0.000000,1.831400,3.662800,
29,-1,-1,-1,-1,1,4,1,4,0.22,5.20,c,4.98,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5531.437500,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.2; 1.9; 3.8; 5.2;,0.000000,0.000000,1.831400,3.662800,
30,-1,-1,-1,-1,1,4,1,4,0.23,5.30,c,5.07,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5570.724609,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.2; 1.9; 3.8; 5.3;,0.000000,0.000000,1.831400,3.662800,
31,-1,-1,-1,-1,1,4,1,4,0.24,5.30,c,5.06,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5567.540039,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.3;,0.000000,0.000000,1.831400,3.662800,
32,-1,-1,-1,-1,1,4,1,4,0.25,5.30,c,5.05,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5564.354492,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.3;,0.000000,0.000000,1.831400,3.662800,
33,-1,-1,-1,-1,1,4,1,4,0.25,5.30,c,5.05,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5561.169922,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.3;,0.000000,0.000000,1.831400,3.662800,
34,-1,-1,-1,-1,1,4,1,4,0.26,5.30,c,5.04,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5557.984375,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.3;,0.000000,0.000000,1.831400,3.662800,
35,-1,-1,-1,-1,1,4,1,4,0.27,5.30,c,5.03,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5554.799805,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.3;,0.000000,0.000000,1.831400,3.662800,
36,-1,-1,-1,-1,1,4,1,4,0.28,5.40,c,5.12,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5594.086914,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.4;,0.000000,0.000000,1.831400,3.662800,
37,-1,-1,-1,-1,1,4,1,4,0.28,5.40,c,5.12,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5590.901855,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.2; 2.0; 3.8; 5.4;,0.000000,0.000000,1.831400,3.662800,
38,-1,-1,-1,-1,1,4,1,4,0.29,5.40,c,5.11,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5587.716797,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.2; 2.0; 3.9; 5.4;,0.000000,0.000000,1.831400,3.662800,
39,-1,-1,-1,-1,1,4,1,4,0.30,5.40,c,5.10,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5584.531738,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.2; 2.0; 3.9; 5.4;,0.000000,0.000000,1.831400,3.662800,
40,-1,-1,-1,-1,1,4,1,4,0.31,5.40,c,5.09,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5581.346680,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.3; 2.0; 3.9; 5.4;,0.000000,0.000000,1.831400,3.662800,
41,-1,-1,-1,-1,1,4,1,4,0.31,5.40,c,5.09,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5578.161621,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.3; 2.0; 3.9; 5.4;,0.000000,0.000000,1.831400,3.662800,
42,-1,-1,-1,-1,1,4,1,4,0.32,5.50,c,5.18,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5617.448730,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.3; 2.0; 3.9; 5.5;,0.000000,0.000000,1.831400,3.662800,
43,-1,-1,-1,-1,1,4,1,4,0.33,5.50,c,5.17,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5614.263672,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.3; 2.0; 3.9; 5.5;,0.000000,0.000000,1.831400,3.662800,
44,-1,-1,-1,-1,1,4,1,4,0.34,5.50,c,5.16,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5611.079102,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.3; 2.1; 3.9; 5.5;,0.000000,0.000000,1.831400,3.662800,
45,-1,-1,-1,-1,1,4,1,4,0.34,5.50,c,5.16,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5607.893555,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.3; 2.1; 3.9; 5.5;,0.000000,0.000000,1.831400,3.662800,
46,-1,-1,-1,-1,1,4,1,4,0.35,5.50,c,5.15,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5604.708984,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.3; 2.1; 3.9; 5.5;,0.000000,0.000000,1.831400,3.662800,
47,-1,-1,-1,-1,1,4,1,4,0.36,5.50,c,5.14,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5601.523926,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.3; 2.1; 3.9; 5.5;,0.000000,0.000000,1.831400,3.662800,
48,-1,-1,-1,-1,1,4,1,4,0.37,5.60,c,5.23,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5640.810547,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.3; 2.2; 4.0; 5.6;,0.000000,0.000000,1.831400,3.662800,
49,-1,-1,-1,-1,1,4,1,4,0.37,5.60,c,5.23,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5637.625977,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.3; 2.2; 4.0; 5.6;,0.000000,0.000000,1.831400,3.662800,
50,-1,-1,-1,-1,1,4,1,4,0.38,5.60,c,5.22,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5634.440430,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.3; 2.1; 4.1; 5.6;,0.000000,0.000000,1.831400,3.662800,
51,-1,-1,-1,-1,1,4,1,4,0.39,5.60,c,5.21,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5631.255859,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.3; 2.1; 4.1; 5.6;,0.000000,0.000000,1.831400,3.662800,
52,-1,-1,-1,-1,1,4,1,4,0.40,5.60,c,5.20,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5628.070313,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.3; 2.1; 4.1; 5.6;,0.000000,0.000000,1.831400,3.662800,
53,-1,-1,-1,-1,1,4,1,4,0.40,5.60,c,5.20,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5624.885742,0.000000,0.000000,0.000000,0,4,1;5;6;4;,, 0.4; 2.1; 4.1; 5.6;,0.000000,0.000000,1.831400,3.662800,
54,-1,-1,-1,-1,1,4,1,4,0.41,5.70,c,5.29,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5664.172852,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.4; 2.1; 4.1; 5.7;,0.000000,0.000000,1.831400,3.662800,
55,-1,-1,-1,-1,1,4,1,4,0.42,5.70,c,5.28,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5660.987793,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.4; 2.1; 4.1; 5.7;,0.000000,0.000000,1.831400,3.662800,
56,-1,-1,-1,-1,1,4,1,4,0.43,5.70,c,5.27,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5657.802734,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.4; 2.1; 4.1; 5.7;,0.000000,0.000000,1.831400,3.662800,
57,-1,-1,-1,-1,1,4,1,4,0.43,5.70,c,5.27,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5654.618164,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.4; 2.1; 4.0; 5.7;,0.000000,0.000000,1.831400,3.662800,
58,-1,-1,-1,-1,1,4,1,4,0.44,5.70,c,5.26,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5651.432617,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.4; 2.2; 4.0; 5.7;,0.000000,0.000000,1.831400,3.662800,
59,-1,-1,-1,-1,1,4,1,4,0.45,5.70,c,5.25,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5648.248047,0.000000,0.000000,0.000000,15,4,1;5;6;4;,, 0.4; 2.2; 4.0; 5.7;,0.000000,0.000000,1.831400,3.662800,
60,-1,-1,-1,-1,1,4,1,4,0.46,5.80,c,5.34,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5687.535156,0.000000,0.000000,0.000000,10,4,1;5;6;4;,, 0.4; 2.3; 4.1; 5.8;,0.000000,0.000000,1.831400,3.662800,
61,-1,-1,-1,-1,1,4,1,4,0.46,5.80,c,5.34,1,1,1.00,3,10.00,0.000,4.000,0.000000,0.000000,0.000000,5684.350098,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.4; 2.3; 4.1; 5.8;,0.000000,0.000000,1.831400,3.662800,
62,-1,-1,-1,-1,1,4,1,4,0.47,5.80,c,5.33,1,1,1.00,2,10.00,0.000,4.000,0.000000,0.000000,0.000000,5681.165039,0.000000,0.000000,0.000000,5,4,1;5;6;4;,, 0.4; 2.3; 4.1; 5.8;,0.000000,0.000000,1.831400,3.662800,
