node_id,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,
10004,10005,10175, ,Left,WBL,0,
10004,10005,10097, ,Right,WBR,0,
10004,10175,10005, ,Right,WBR,0,
10004,10175,10097, ,Through,WBT,0,
10004,10097,10005, ,Through,SET,0,
10004,10097,10175, ,Through,SET,0,
10005,10004,10401, ,Left,EBL,0,
10005,10004,10406, ,Through,EBT,0,
10005,10004,10784, ,Right,EBR,0,
10005,10401,10004, ,Right,SBR,0,
10005,10401,10406, ,Left,SBL,0,
10005,10401,10784, ,Through,SBT,0,
10005,10406,10004, ,Through,WBT,0,
10005,10406,10401, ,Right,WBR,0,
10005,10406,10784, ,Left,WBL,0,
10005,10784,10004, ,Left,NBL,0,
10005,10784,10401, ,Through,NBT,0,
10005,10784,10406, ,Right,NBR,0,
10006,10007,10479, ,Right,WBR,0,
10006,10479,10007, ,Left,SBL,0,
10007,10006,10477, ,Through,EBT,0,
10007,10006,10685, ,Left,EBL,0,
10007,10006,10726, ,Right,EBR,0,
10007,10477,10006, ,Through,WBT,0,
10007,10477,10685, ,Right,WBR,0,
10007,10477,10726, ,Left,WBL,0,
10007,10685,10006, ,Right,SBR,0,
10007,10685,10477, ,Left,SBL,0,
10007,10685,10726, ,Through,SBT,0,
10007,10726,10006, ,Left,NBL,0,
10007,10726,10477, ,Right,NBR,0,
10007,10726,10685, ,Through,NBT,0,
10015,10014,10016, ,Right,EBR,0,
10015,10016,10014, ,Left,NBL,0,
10018,10017,10478, ,Through,NBT,0,
10018,10017,10753, ,Right,NBR,0,
10018,10017,10755, ,Left,NBL,0,
10018,10478,10017, ,Through,SBT,0,
10018,10478,10753, ,Left,SBL,0,
10018,10478,10755, ,Right,SBR,0,
10018,10753,10017, ,Left,WBL,0,
10018,10753,10478, ,Right,WBR,0,
10018,10753,10755, ,Through,WBT,0,
10018,10755,10017, ,Right,EBR,0,
10018,10755,10478, ,Left,EBL,0,
10018,10755,10753, ,Through,EBT,0,
10027,10028,10133, ,Left,WBL,0,
10027,10028,10712, ,Right,WBR,0,
10027,10133,10028, ,Right,NBR,0,
10027,10133,10712, ,Through,NBT,0,
10027,10712,10028, ,Left,SBL,0,
10027,10712,10133, ,Through,SBT,0,
10028,10027,10078, ,Through,SET,0,
10028,10078,10027, ,Through,WBT,0,
10029,10030,10387, ,Right,EBR,0,
10029,10030,10730, ,Left,EBL,0,
10029,10030,10732, ,Right,EBR,0,
10029,10387,10030, ,Left,NWL,0,
10029,10387,10730, ,Through,NWT,0,
10029,10387,10732, ,Left,NWL,0,
10029,10730,10030, ,Right,SBR,0,
10029,10730,10387, ,Through,SBT,0,
10029,10730,10732, ,Through,SBT,0,
10029,10732,10030, ,Left,NBL,0,
10029,10732,10387, ,Right,NBR,0,
10029,10732,10730, ,Through,NBT,0,
10033,10034,10043, ,Right,NBR,0,
10033,10034,10725, ,Through,NBT,0,
10033,10034,10419, ,Right,NBR,0,
10033,10034,10754, ,Left,NBL,0,
